id,genre,track_name,artist_name,valence,energy
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,0.588,0.0993
4FLvG5dzvorjI9USGay9wB,acoustic,Euphoria,Tyler Ward,0.272,0.624
3fCJRE4P1uU8dcqEW5mnM6,acoustic,Staple It Together,Jack Johnson,0.786,0.794
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31
15VRO9CQwMpbqUYA7e6Hwg,acoustic,The Man Who Sold The World,Nirvana,0.42,0.753
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0.598,0.572
6wZI4mdT8JwXgkGURnBQiq,acoustic,Say,John Mayer,0.541,0.723
6l9HDwqU46DHCuNyvbmFdP,acoustic,New Soul,David Donatien,0.604,0.371
5MYfpFJYm8WNFGssR6H2Oz,acoustic,No One's Gonna Love You - Live from Spotify Sweden,Band of Horses,0.192,0.188
78XKESRvAP5pTi9rhYbyn8,acoustic,"Heaven - Live From Angel Studios, London",Emeli Sandé,0.386,0.187
5GCgC77m6EaAqu7ZlukMu2,acoustic,Umbrella,Train,0.627,0.849
54JkQYApvJ6oan1kpJRKVS,acoustic,Wonderful World,Various Artists,0.596,0.679
3xUZnzg858ZXHVGCYOuSKb,acoustic,And Tonight,Lily & Madeleine,0.196,0.314
0p6GeAWS4VCZddxNbBtEss,acoustic,Hometown Glory,Adele,0.211,0.336
2Xt2ir0hgXtcfFlAx4rdu9,acoustic,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,0.569,0.579
24rFwAcC6eqPvyMuPynVGH,acoustic,Home / Dirty Paws,Gardiner Sisters,0.232,0.208
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813
0vXNYk4XKPSly2w858r7CN,acoustic,She Will Be Loved (feat. Tiffany Alvord),Boyce Avenue,0.34,0.398
6cc4XOqrB8qibHbAymBPSH,acoustic,"Clarity - Live at Blossom Music Center, Cleveland, Ohio, August 3, 2004",John Mayer,0.361,0.857
3dTGR2oQA1XaC850o5oPdK,acoustic,Hotel California,Eagles,0.595,0.496
161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629
1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769
5HQVUIKwCEXpe7JIHyY734,afrobeat,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.531,0.655
6EhMqP60LFRqfABN4Pc2wP,afrobeat,Kala Djula,Ali Farka Touré,0.786,0.43
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832
5h2tK6lPVKDX70scZW8909,afrobeat,Ai ga bani,Various Artists,0.639,0.469
2gmpWgPvC5vap4D2YtHbEW,afrobeat,Tamiditin Tan Ufrawan,Tinariwen,0.563,0.645
52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136
2xwBZeD1bTFYqKXVMrCtm7,afrobeat,Usiniseme,Various Artists,0.836,0.873
3aE0O99WPzRZ0UeSX9Boan,afrobeat,Tonight,Burna Boy,0.711,0.624
1PuVnforHbeSrVCIktzOMb,afrobeat,Sebero,Issa Bagayogo,0.717,0.662
3Ua7O14g34JlkpisL2SKLk,afrobeat,Sinebar,Youssou N'Dour,0.638,0.895
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
05CF4ATpqROLTQVYABNZ3W,afrobeat,Laidu,Rokia Traoré,0.397,0.269
37BTh5g05cxBIRYMbw8g2T,afrobeat,Rosanna,TOTO,0.739,0.513
5B0DtR1BiFKtj2NYS08QvM,afrobeat,Sijuade,King Sunny Ade,0.961,0.715
4T6D5fwa4yNjcl58JQongI,afrobeat,Afro Shigida – Original Lagos Cut,Kojato,0.816,0.879
0TDLuuLlV54CkRRUOahJb4,afrobeat,Titanium (feat. Sia),David Guetta,0.301,0.787
5rOHTPNcHiwhQYqNBpRW2x,afrobeat,1er Gaou - Version originale,Magic System,0.943,0.86
4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.933,0.355
1mMe0felnLtY2QjR7VcgrA,alt-rock,Do Or Die,Thirty Seconds To Mars,0.432,0.825
5fxfwjQ1OmbnkOlg39HsSO,alt-rock,I Got A Girl,Tripping Daisy,0.686,0.838
2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Float On,Modest Mouse,0.553,0.888
7wvrr5PXgetOyljccwpKnD,alt-rock,Benediction,Thurston Moore,0.556,0.481
4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.437
5u6fnmRO5V0PTl5M2Eekeu,alt-rock,Cold Hard Bitch,Jet,0.357,0.895
1cAMXz9mnvrqyQLSG4KeeE,alt-rock,Sirens,Pearl Jam,0.475,0.847
2tlETUiIcT9IiQYDUdnj4B,alt-rock,Painkiller,Three Days Grace,0.509,0.941
7rBMZvgeWnOTHWUh3Pvw51,alt-rock,Chloe Dancer/Crown Of Thorns,Mother Love Bone,0.267,0.362
51qDSqAzAOwL7OQitYFCw9,alt-rock,High Tide Low Tide,The Vaselines,0.624,0.947
3gesKgOqQEAdhHXlBIWi6c,alt-rock,Ambulances,Institute,0.313,0.652
3US6iSyLP2uS07gjjU2ZkG,alt-rock,Heaven,The Walkmen,0.535,0.905
0CZ48zSBAXNplab4I4T4NN,alt-rock,Total Immersion,Polvo,0.477,0.867
2Mg338eKMZKe3dMvCY1Y77,alt-rock,Drown,Theory of a Deadman,0.385,0.936
1Y0gvY33NZLqwKlWV3Dah9,alt-rock,Original Love,The Feelies,0.728,0.718
4oNPijuJXCkcl0l9TpqsH9,alt-rock,Heat,The Brian Jonestown Massacre,0.242,0.59
51m0PrZokFZNk5b5xptyzC,alt-rock,Cannonball,The Breeders,0.765,0.685
5RvEtk4ckEfGXkFigc3Oml,alt-rock,Passive,A Perfect Circle,0.116,0.729
1fvGs20dhb5eyiAurPO75y,alt-rock,Push And Shove,No Doubt,0.513,0.897
6JqmArpMrkb125GqWsBAPg,alt-rock,Central,John Frusciante,0.149,0.575
0OYcEfskah1egYHjYRvbg1,alternative,Shadow of the Day,Linkin Park,0.0641,0.393
1Y13csEpu3TK5gQdzGLrd8,alternative,Pardon Me,Incubus,0.278,0.812
75JFxkI2RXiU7L9VXzMkle,alternative,The Scientist,Coldplay,0.213,0.442
31DVVa40JpTudyGDNC1ROW,alternative,Everything in Its Right Place,Radiohead,0.0623,0.462
68YPheVJ8EuA5IJFddr1Qf,alternative,Teenage Icon,The Vaccines,0.641,0.934
4fqWHKSNpJHq4mPJ1imr02,alternative,If We're Still Alive,Slow Club,0.442,0.724
7psPPGwhFzP3pyOcb3ivcT,alternative,Unbelievers,Vampire Weekend,0.831,0.811
14rApQTKycs9gNg7hjm9m7,alternative,White Blank Page,Mumford & Sons,0.299,0.398
2oSpQ7QtIKTNFfA08Cy0ku,alternative,It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,0.797,0.894
1d5UuboIPRMD4HaU3yycKC,alternative,Somewhere I Belong,Linkin Park,0.442,0.951
3G6hD9B2ZHOsgf4WfNu7X1,alternative,Team,Lorde,0.416,0.578
56dIfld2EW00CPbB3zA6GE,alternative,Kaputt,Destroyer,0.555,0.721
4wEycnASy9jEb7M0PlyzYn,alternative,Give Your Light Off,Woods,0.281,0.442
2keKJ9KWoGpucAqZ9W4CFi,alternative,Sleepwalker,Moon Duo,0.345,0.961
0jjphpegPbJIk0C6BSvTE5,alternative,Underdog,Imagine Dragons,0.57,0.831
2JO3HwMRPeya8bXbtbyPcf,alternative,Love Will Tear Us Apart,Joy Division,0.909,0.956
1WYEDcS7WGjv0rG7rmMX3o,alternative,Bitter Sweet Symphony,The Verve,0.537,0.913
5wvYib82q05wiNjLElD8GJ,alternative,Dig,Incubus,0.463,0.895
4s9MBsOC7ntOehwpH0EJLL,alternative,Your Bones,Of Monsters and Men,0.327,0.725
3u1Er1rkjn1oSz1xdZH3ZD,alternative,Call It What You Want,Foster The People,0.725,0.967
2pN0C4dICHk5z2KRS3c66l,ambient,Sea,Patrick O'Hearn,0.0361,0.0942
68oUQRwGJGExtkpaSvSbgb,ambient,Glory Box,Portishead,0.223,0.417
5W1Z5Z1xPbV5OUthL4yVr3,ambient,Sparrowfall (3) - 2005 Digital Remaster,Brian Eno,0.16,0.351
1sc7nr4cXBBN2PRsxrmls8,ambient,Þú ert sólin,Ólafur Arnalds,0.0742,0.102
1mZcyKIx0ctPbF2NAvG8AE,ambient,Sunrise Projector,Tycho,0.114,0.337
7e0HabMAjQEYduI1qfYS5r,ambient,Risky Nap Under Blue Tree,Cell,0.0339,0.186
2sXcir5C55nhgEzL8chicC,ambient,Broken Colours,Marconi Union,0.037,0.276
6BXvSPUVossmiwVKpYIu2m,ambient,Moth,Apparat,0.754,0.764
4Lqj6y9e1JgKlYTfGOPp0Y,ambient,Close Forever Watching,Deaf Center,0.0281,0.117
7swx5xLemJWVosynhueQ4Z,ambient,Anthrazit,AES DANA,0.149,0.613
3aUMnm7TBTgToWcab9LaXL,ambient,Look Out,James Vincent McMorrow,0.215,0.185
5tDoMV45rlaqdhc4pMt0vN,ambient,Dictaphone’s Lament,Tycho,0.266,0.556
660j84jp8ljIwLFiAFprlb,ambient,Another Green World - Remastered 2004,Brian Eno,0.458,0.00383
4HkJr31bgEdCtEHpasC7Jz,ambient,Unity,Bvdub,0.0377,0.6
2Qw2S6qB0QjJu0cvfSBw1W,ambient,Feel,Solar Fields,0.0323,0.247
4QAslghrKrs38Fj7C81nuP,ambient,Song for Motion,Lowlakes,0.0433,0.311
0BSJ1iQEmGibLCPMHGtdo7,ambient,Lost In Thought,Jon Hopkins,0.201,0.318
6UrBPZ1zQTheV7sn9PuZif,ambient,Comfort Zone,General Fuzz,0.0657,0.406
2TtcSYssZ6rASPptkhlbMS,ambient,Ghost Hardware,Burial,0.472,0.864
25N6tLYS1uFJ3c5lsXV3y1,ambient,In the Fog II,Tim Hecker,0.034,0.477
5KoOign5i8cbWFtAuk3nfe,anime,彩色の星,Eir Aoi,0.42,0.726
57Ss6fa0Om0RIAsKG9BlZs,anime,進めアバンチュール,i☆Ris,0.714,0.923
06ez1Z9FpHmEJEVLt5MXq9,anime,MAGUS MODE - TRINITY FORM,Technoboys Pulcraft Green-Fund,0.757,0.894
2tHhf6jFeMvV4mvzkXIz6j,anime,I & I,Leola,0.334,0.523
0GR87Jq8lnwhQeEFLqXLeJ,anime,Believe,Nami Tamaki,0.39,0.973
3WwwuYUni1aGgbZD4fr8Ib,anime,シンシアの光,Eir Aoi,0.408,0.964
2clXNIYMyjFD1jHIbAyklh,anime,Days - Re Ver.,Jin,0.464,0.562
63j3xZ2N6VuvRCTRiAHqbh,anime,終わらないティーパーティー,かと*ふく,0.676,0.895
0p3OcMEPoIrXmLimsuucqh,anime,五月の魔法,Kalafina,0.514,0.745
3Hv7PtXAEK5BpEsPSH28r6,anime,キミの花,Hanako Oku,0.493,0.799
1FMETllGs1yByaP10NGdN7,anime,Overfly,Luna Haruna,0.341,0.854
7nOCjSic2vAiF8U0LJc9zy,anime,Door,EGOIST,0.0814,0.336
00WCxlPajxvVmgOfVpcLGc,anime,Eternal Spice,Various Artists,0.469,0.911
2jigBsv4DIUqLNSghDUPej,anime,空色デイズ,i☆Ris,0.624,0.964
683BwxNnoUdR610Rqlq1NJ,anime,ハートリアライズ,Tia,0.277,0.952
5ap1YlkP1of9hWqiOKwJXJ,anime,VANQUISH,南那城メィジ(CV.木村昴),0.807,0.916
7uAAkKB8bpzm7WabNBO4wd,anime,HEART OF SWORD ~夜明け前~,T.M.Revolution,0.651,0.979
35DGkeAveCYbAirSToRLVM,anime,はじまりの日に,Wataru Hatano,0.626,0.737
6mhtjlYdbceFnMlRfkbsQu,anime,Yuri on ICE,Various Artists,0.165,0.523
1IeXOGm66oXDInxqAbi86R,anime,ココロノヲト,i☆Ris,0.488,0.989
7C1lX58IT7Frt762UH0SNU,black-metal,The Shrine of Mad Laughter,Deathspell Omega,0.0398,0.946
1NfQVTssa2U4khGPewpGUx,black-metal,Atternatt,Taake,0.0857,0.908
1KFyjI4NAVkROj6wirMive,black-metal,Beyond The Horizon,Dissection,0.536,0.934
4G5P8iFosipk75ka1Zi4ob,black-metal,Cruelty Brought Thee Orchids,Cradle Of Filth,0.366,0.983
181RJOcJLvz4OyrBaySeLm,black-metal,Atrum Regina,Dark Funeral,0.223,0.947
05TwEprthalrWLTL1P87sa,black-metal,Sadist,Bathory,0.331,0.831
4fVbzqBB2X2XQfFpnaoxY9,black-metal,Astral Blood,Wolves In The Throne Room,0.0573,0.916
2ccApmi9DSHindCOx5DpHU,black-metal,Thulcandra,Darkthrone,0.289,0.987
16uFNbU4scIoMg1VRrc06a,black-metal,Internal Winter,1349,0.0392,0.984
10fakVXpY9f2ALa5P0qqo5,black-metal,My Latex Queen,Dark Funeral,0.0385,0.974
1J1Z0XIL18hClKmm5T5ytO,black-metal,Heavenly Perverse,Dimmu Borgir,0.0399,0.981
030vDBaVUWCI01rl1emrqS,black-metal,"Arntor, A Warrior",Windir,0.272,0.955
57yZkQamv9AQKCCWsNDPIn,black-metal,Funeral Procession,Gorgoroth,0.0394,0.951
09JeoCSR7bg1ZNZWcaGv9K,black-metal,Into The Infinity Of Thoughts,Emperor,0.0665,0.943
14cfUCGzw2aNtiFXQHeJts,black-metal,The Foreshadowing Furnace,Dimmu Borgir,0.0583,0.971
4hMx0vKP14GYJhYJz8IhTa,black-metal,To Redirect Perdition,Marduk,0.149,0.957
5cUCG5g7pUvHnoYbI9Rv6W,black-metal,Funeral In Carpathia,Cradle Of Filth,0.105,0.929
0voxaAiJOYTNYoCSAEi8FQ,black-metal,Night Vision,Watain,0.0707,0.62
0NGgDiPDXhazlo6yPZFzbG,black-metal,Inn I De Dype Skogens Fabn,Darkthrone,0.191,0.953
12P0ncvnrEu4OSY9E1FjO5,black-metal,Dark Mother Divine,Dissection,0.483,0.816
0l4s9ze0CrQfOiE8jaMs1H,bluegrass,Out Of The Woods,Nickel Creek,0.249,0.316
2qMCuDiwY7wrr9ytywIdjo,bluegrass,Boodle-De-Bum-Bum,Carolina Chocolate Drops,0.76,0.402
4K4R1TAW4ct3w10EsHWMmA,bluegrass,King Tut,Steve Martin,0.503,0.907
6S8kmGkuJ4iTEgRgegfRhD,bluegrass,Half Mile Down,Old Crow Medicine Show,0.925,0.646
2zA6QpLF7GIiggoBEOdPcV,bluegrass,It All Comes Down To You,Dan Tyminski,0.836,0.564
2dscaDL63wq8M841UCNaCz,bluegrass,Eight Cylinders,Yonder Mountain String Band,0.575,0.357
1gCzS6LuqFWPFD0UE1bINb,bluegrass,The Woman and the Bell,Punch Brothers,0.157,0.31
1QQCePp8EM1QmhSqAeqcbq,bluegrass,Caney Fork River,Balsam Range,0.876,0.743
5pnjFG0695iwvR9qsnfTSk,bluegrass,The Bullet,The Devil Makes Three,0.787,0.633
4L438Q6Ix4BCPw9eufpK0J,bluegrass,Little Cabin Home On The Hill,Ricky Skaggs,0.853,0.605
0kvy8rEXxfiVBAmBpRqJrU,bluegrass,Somebody More Like You,Nickel Creek,0.331,0.345
0qmQKSzoJlwdIF7G8MB8S4,bluegrass,Foggy Mountain Top (with Mother Maybelle Carter),Earl Scruggs,0.835,0.53
5VCXVVuY40yIR9g5RNqhRo,bluegrass,Jerusalem Ridge,Tony Rice,0.952,0.786
0aRUxWJE0OuYECAAr4Zhmh,bluegrass,Bluest Man In Town,The Del McCoury Band,0.644,0.275
4tpoVnEMCJz2zSREbP4xSu,bluegrass,Brown County Breakdown,Noam Pikelny,0.785,0.695
53NkOWxyBmjUKHl30A8l9S,bluegrass,I Hear Them All,Old Crow Medicine Show,0.679,0.477
5kxWGm7jRZwV5Ld0VpBCD8,bluegrass,Jubilation Day,Steve Martin,0.965,0.638
15LqIvhk4CHyMW9O0JaQWT,bluegrass,Goodye Old Pal,Bill Monroe & His Blue Grass Boys,0.812,0.383
44SdHsZfO8c0hyKfTijCeN,bluegrass,Death Trip,Yonder Mountain String Band,0.738,0.91
1DtQWgLprt0aNPKYymhVCy,bluegrass,"Tortured, Tangled Hearts",The Chicks,0.713,0.724
5vRhIG3VXBzHbf7XiNT0vq,blues,Let It Grow,Eric Clapton,0.265,0.508
30D7yws1hPAgVAwhaKFggf,blues,Built For Comfort,Howlin' Wolf,0.785,0.525
7kWhdmRYv8CqbWNqfojqVd,blues,Let's Stay Together,Al Green,0.502,0.273
6u71ueCmdXNGjbbAX4bkOU,blues,Palace Of The King - Remastered,Freddie King,0.879,0.821
4VSRpqVJn9dnBRMX342il4,blues,Don't Answer The Door,B.B. King,0.255,0.519
0OXd5YAycHH6Jc3KvZvc4X,blues,Diddley Bo,Seasick Steve,0.373,0.873
618hiI74zBL8UVgAvfmkLj,blues,Riding with the King,Eric Clapton,0.824,0.796
53zOnJMw4x2soBzedj2UnZ,blues,Muddy Water,Keb' Mo',0.967,0.853
0CmIALzGn4vHIHJG4n3Q4z,blues,At Last - Single Version,Etta James,0.322,0.326
58m6m4xwdRgOy1mxH9J1fl,blues,What Is That She Got,Muddy Waters,0.702,0.338
125et00BL36tXeZqE22r4M,blues,Stang's Swang,Stevie Ray Vaughan,0.514,0.471
0c42JkNYZzZTNVWJvIuaRm,blues,She Caught the Katy and Left Me a Mule to Ride,Taj Mahal,0.936,0.388
2MVwrvjmcdt4MsYYLCYMt8,blues,Tighten Up,The Black Keys,0.567,0.705
7aEpweOrSg9OCucFkMPf5R,blues,How Blue Can You Get,B.B. King,0.382,0.423
0yWSIVWjYiL8uXnzqpKHul,blues,I'm So Excited,John Lee Hooker,0.659,0.695
